rank,name,domain,url,theme,meaning,backronym,status,annual_usd,initial_years,initial_checkout_usd,renewal_usd,com_status,checked_at
23,barite,barite.ai,https://barite.ai,earth,"A mineral, barium sulphate, with the chemical formula BaSO₄.",Behavior Activation Representation Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
24,raffia,raffia.ai,https://raffia.ai,craft,"A fibrous material used for tying plants, originating from the leaves of raffia palm trees (g...",Representation Activation Feature Feature Interpretability Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
25,dunite,dunite.ai,https://dunite.ai,earth,A type of igneous rock with a coarse-grained or phaneritic texture.,Direction Unified Neural Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
26,tenter,tenter.ai,https://tenter.ai,geometry,A framework upon which cloth is stretched and dried.,Trait Embedding Neural Trait Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
27,coteau,coteau.ai,https://coteau.ai,land,A hilly upland including the divide between two valleys.,Concept Observation Trait Embedding Activation Unified,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
28,blenny,blenny.ai,https://blenny.ai,fauna,"A true blenny, any of various marine fishes from the suborder Blennioidei or order Blenniifor...",Behavior Layer Embedding Neural Neural Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
29,aucuba,aucuba.ai,https://aucuba.ai,flora,Any of several decorative evergreen shrubs of the genus Aucuba.,Activation Unified Concept Unified Behavior Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
30,hypnum,hypnum.ai,https://hypnum.ai,flora,Any member of the genus Hypnum of mosses.,Hidden-state Yield Probe Neural Unified Manifold,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
31,boronia,boronia.ai,https://boronia.ai,flora,"Any of several aromatic herbs, of the genus Boronia, used in perfumery.",Behavior Observation Representation Observation Neural Interpretability Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
32,kainite,kainite.ai,https://kainite.ai,earth,"An evaporite, consisting of magnesium sulphate and potassium chloride with the chemical formu...",Kernel Activation Interpretability Neural Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
33,goyle,goyle.ai,https://goyle.ai,land,A ravine or other depression.,Geometry Observation Yield Layer Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
34,amadou,amadou.ai,https://amadou.ai,flora,"A spongy, flammable substance prepared from bracket fungi, formerly used as a styptic and as...",Activation Manifold Activation Direction Observation Unified,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
35,byssus,byssus.ai,https://byssus.ai,flora,The long fine silky filaments excreted by several mollusks (particularly Pinna nobilis) by wh...,Behavior Yield Steering Steering Unified Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
36,crewel,crewel.ai,https://crewel.ai,craft,"Worsted yarn, slackly twisted, used for embroidery.",Concept Representation Embedding Workbench Embedding Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
37,achene,achene.ai,https://achene.ai,flora,"A small, dry, indehiscent fruit, containing a single seed, as in the buttercup.",Activation Concept Hidden-state Embedding Neural Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
38,chital,chital.ai,https://chital.ai,geometry,"a large spotted deer, of genus Axis, native to India and Sri Lanka",Concept Hidden-state Interpretability Trait Activation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
39,tusche,tusche.ai,https://tusche.ai,language,A black liquid used in lithography for drawing and painting and in etching and the silk-scree...,Trait Unified Steering Concept Hidden-state Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
40,peahen,peahen.ai,https://peahen.ai,fauna,A female peafowl.,Probe Embedding Activation Hidden-state Embedding Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
41,fragor,fragor.ai,https://fragor.ai,light,A loud and sudden sound; the report of anything bursting; a crash.,Feature Representation Activation Geometry Observation Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
42,deutzia,deutzia.ai,https://deutzia.ai,flora,"Any of a group of cultivated shrubs, of the genus Deutzia, having white or pink flowers",Direction Embedding Unified Trait Zeroing Interpretability Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
43,pocosin,pocosin.ai,https://pocosin.ai,land,"A low, wooded swamp in (especially coastal) Eastern Maryland, Virginia or the Carolinas; a pa...",Probe Observation Concept Observation Steering Interpretability Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
44,marais,marais.ai,https://marais.ai,land,"A marsh; a marshy area, one intermittently covered with water, particularly in Louisiana, or...",Manifold Activation Representation Activation Interpretability Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
45,ligure,ligure.ai,https://ligure.ai,earth,"A gemstone, supposed to have been a form of agate",Layer Interpretability Geometry Unified Representation Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
46,pollan,pollan.ai,https://pollan.ai,water,"A freshwater fish, Coregonus pollan, resembling a herring",Probe Observation Layer Layer Activation Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
47,ratite,ratite.ai,https://ratite.ai,fauna,"A member of a diverse group of mostly large, running, flightless birds that lack keels on the...",Representation Activation Trait Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
48,nullah,nullah.ai,https://nullah.ai,water,"A stream-bed, ravine, or other watercourse; a drain for rain or floodwater.",Neural Unified Layer Layer Activation Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
49,lakelet,lakelet.ai,https://lakelet.ai,water,A small lake.,Layer Activation Kernel Embedding Layer Embedding Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
50,lappet,lappet.ai,https://lappet.ai,fauna,"A small decorative fold or flap, especially of lace or muslin, in a garment or headdress.",Layer Activation Probe Probe Embedding Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
51,coccid,coccid.ai,https://coccid.ai,fauna,Any of very many scale insects (including mealybugs) of the superfamily Coccoidea; especially...,Concept Observation Concept Concept Interpretability Direction,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
52,podzol,podzol.ai,https://podzol.ai,instrument,The typical soil of coniferous or boreal forests.,Probe Observation Direction Zeroing Observation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
53,chlorite,chlorite.ai,https://chlorite.ai,earth,"A dark green mineral resembling serpentine, being a mixed silicate of magnesium, iron and alu...",Concept Hidden-state Layer Observation Representation Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
54,orcinol,orcinol.ai,https://orcinol.ai,signal,"A natural phenolic organic compound that occurs in many species of lichen, used in the produc...",Observation Representation Concept Interpretability Neural Observation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
55,claypan,claypan.ai,https://claypan.ai,sky,A compact stratum of partially permeable material rich in clay.,Concept Layer Activation Yield Probe Activation Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
56,pondage,pondage.ai,https://pondage.ai,water,The water in a reservoir.,Probe Observation Neural Direction Activation Geometry Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
57,mudstone,mudstone.ai,https://mudstone.ai,earth,A fine-grained sedimentary rock whose original constituents were clays or muds.,Manifold Unified Direction Steering Trait Observation Neural Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
58,musicale,musicale.ai,https://musicale.ai,sound,"A musical entertainment, usually private and typically involving classical music",Manifold Unified Steering Interpretability Concept Activation Layer Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
59,orotund,orotund.ai,https://orotund.ai,mind,"Of a voice: characterized by clarity, fullness, smoothness, and strength of sound; hence, of...",Observation Representation Observation Trait Unified Neural Direction,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
60,subword,subword.ai,https://subword.ai,geometry,A portion of a word (fixed-size group of bits).,Steering Unified Behavior Workbench Observation Representation Direction,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
61,anapest,anapest.ai,https://anapest.ai,sound,"In qualitative meter, a metrical foot consisting of three syllables, the first two unstressed...",Activation Neural Activation Probe Embedding Steering Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
62,cubeb,cubeb.ai,https://cubeb.ai,flora,"One of the berries of this plant, used as a condiment.",Concept Unified Behavior Embedding Behavior,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
63,bedeck,bedeck.ai,https://bedeck.ai,feeling,"To deck, ornament, or adorn",Behavior Embedding Direction Embedding Concept Kernel,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
64,herber,herber.ai,https://herber.ai,flora,A garden in which herbs and vegetables are grown; a herbarium,Hidden-state Embedding Representation Behavior Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
65,launce,launce.ai,https://launce.ai,mind,"sand eel, sand lance, fish of the family Ammodytidae",Layer Activation Unified Neural Concept Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
66,chanal,chanal.ai,https://chanal.ai,flora,thorny shrub or small tree common in central argentina having small orange or yellow flowers...,Concept Hidden-state Activation Neural Activation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
67,curtal,curtal.ai,https://curtal.ai,geometry,An early type of bassoon.,Concept Unified Representation Trait Activation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
68,irtysh,irtysh.ai,https://irtysh.ai,water,"A major river in Siberia, Russia and Kazakhstan.",Interpretability Representation Trait Yield Steering Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
69,ganoid,ganoid.ai,https://ganoid.ai,fauna,"Having ganoid scales or plates, as a fish; specifically, of or pertaining to the Ganoidei.",Geometry Activation Neural Observation Interpretability Direction,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
70,marish,marish.ai,https://marish.ai,land,A marsh.,Manifold Activation Representation Interpretability Steering Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
71,irtish,irtish.ai,https://irtish.ai,water,an asian river; tributary of the ob river,Interpretability Representation Trait Interpretability Steering Hidden-state,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
72,gadoid,gadoid.ai,https://gadoid.ai,fauna,Any fish of the family Gadidae,Geometry Activation Direction Observation Interpretability Direction,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
73,gabert,gabert.ai,https://gabert.ai,navigation,"A lighter, or vessel for inland navigation.",Geometry Activation Behavior Embedding Representation Trait,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
74,marshy,marshy.ai,https://marshy.ai,land,"Of, or resembling a marsh; boggy.",Manifold Activation Representation Steering Hidden-state Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
75,herbage,herbage.ai,https://herbage.ai,flora,Herbs collectively.,Hidden-state Embedding Representation Behavior Activation Geometry Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
76,dirge,dirge.ai,https://dirge.ai,sound,A mournful poem or piece of music composed or performed as a memorial to a deceased person.,Direction Interpretability Representation Geometry Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
77,huerta,huerta.ai,https://huerta.ai,land,The area of Murcia and Valencia with fertile ground.,Hidden-state Unified Embedding Representation Trait Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
78,nosegay,nosegay.ai,https://nosegay.ai,flora,"A small bunch of fragrant flowers or herbs tied in a bundle, often presented as a gift; noseg...",Neural Observation Steering Embedding Geometry Activation Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
79,ipomoea,ipomoea.ai,https://ipomoea.ai,flora,"Any of various twining plants of the genus Ipomoea with showy monopetalous flowers, including...",Interpretability Probe Observation Manifold Observation Embedding Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
80,ogive,ogive.ai,https://ogive.ai,geometry,The curve of a cumulative distribution function.,Observation Geometry Interpretability Vector Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
81,norther,norther.ai,https://norther.ai,sky,"A strong north wind, a wind blowing from the north.",Neural Observation Representation Trait Hidden-state Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
82,marline,marline.ai,https://marline.ai,sky,"A light all-purpose cord commonly used to bind the end of a larger rope, to prevent fraying.",Manifold Activation Representation Layer Interpretability Neural Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
83,polje,polje.ai,https://polje.ai,geometry,An extensive depression having a flat floor and steep walls but no outflowing surface stream...,Probe Observation Layer Jacobian Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
84,isere,isere.ai,https://isere.ai,water,a river in southeastern france; a tributary of the rhone,Interpretability Steering Embedding Representation Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
85,osmunda,osmunda.ai,https://osmunda.ai,flora,"A fern of the genus Osmunda, especially the royal fern, Osmunda regalis.",Observation Steering Manifold Unified Neural Direction Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
86,moorhen,moorhen.ai,https://moorhen.ai,fauna,"Any of various medium-sized water birds of the genus Gallinula, of the rail family, that feed...",Manifold Observation Observation Representation Hidden-state Embedding Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
87,biphase,biphase.ai,https://biphase.ai,signal,A method of transmitting binary data that avoids problems associated with long strings of one...,Behavior Interpretability Probe Hidden-state Activation Steering Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
88,sylvite,sylvite.ai,https://sylvite.ai,earth,"An evaporite, consisting of potassium chloride KCl, also found in fumaroles.",Steering Yield Layer Vector Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
89,alunite,alunite.ai,https://alunite.ai,earth,"A gray whitish, water-soluble mineral, potassium aluminium sulphate; the natural source of al...",Activation Layer Unified Neural Interpretability Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
90,binodal,binodal.ai,https://binodal.ai,geometry,Having two nodes,Behavior Interpretability Neural Observation Direction Activation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
91,pluteus,pluteus.ai,https://pluteus.ai,flora,The free-swimming larvae of echinoderms.,Probe Layer Unified Trait Embedding Unified Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
92,amniote,amniote.ai,https://amniote.ai,fauna,Any of the Amniota group of vertebrates having an amnion during the development of the embryo...,Activation Manifold Neural Interpretability Observation Trait Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
93,hemiola,hemiola.ai,https://hemiola.ai,sound,The articulation of two bars in triple time as if they were three bars in duple time.,Hidden-state Embedding Manifold Interpretability Observation Layer Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
94,leeside,leeside.ai,https://leeside.ai,land,"The side of something that provides the most shelter from some prevailing force such as wind,...",Layer Embedding Embedding Steering Interpretability Direction Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
95,amorpha,amorpha.ai,https://amorpha.ai,flora,Any species of the genus Amorpha of leguminous shrubs.,Activation Manifold Observation Representation Probe Hidden-state Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
96,knaur,knaur.ai,https://knaur.ai,geometry,A knot or burl in a tree.,Kernel Neural Activation Unified Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
97,alcidae,alcidae.ai,https://alcidae.ai,fauna,web-footed diving seabirds of northern seas: auks; puffins; guillemots; murres; etc.,Activation Layer Concept Interpretability Direction Activation Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
98,woodsia,woodsia.ai,https://woodsia.ai,flora,Any of the genus Woodsia of ferns.,Workbench Observation Observation Direction Steering Interpretability Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
99,plagal,plagal.ai,https://plagal.ai,sound,Designating a mode lying a perfect fourth below the authentic form.,Probe Layer Activation Geometry Activation Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
100,demoss,demoss.ai,https://demoss.ai,flora,To remove moss from.,Direction Embedding Manifold Observation Steering Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
101,graben,graben.ai,https://graben.ai,land,"An elongated block of the Earth's crust, bounded by faults, that has dropped relative to the...",Geometry Representation Activation Behavior Embedding Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
102,pyrene,pyrene.ai,https://pyrene.ai,earth,A polycyclic aromatic hydrocarbon containing four fused benzene rings; first isolated from co...,Probe Yield Representation Embedding Neural Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
103,biscay,biscay.ai,https://biscay.ai,water,A sea area corresponding to the Bay of Biscay.,Behavior Interpretability Steering Concept Activation Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
104,pommel,pommel.ai,https://pommel.ai,craft,A rounded knob or handle.,Probe Observation Manifold Manifold Embedding Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
105,ramage,ramage.ai,https://ramage.ai,feeling,"wildness, spirit, courage, ferocity",Representation Activation Manifold Activation Geometry Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
106,reamer,reamer.ai,https://reamer.ai,craft,A device for rendering citrus juice.,Representation Embedding Activation Manifold Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
107,cowpea,cowpea.ai,https://cowpea.ai,flora,"Any of the plants in the species Vigna unguiculata, including the black-eyed pea.",Concept Observation Workbench Probe Embedding Activation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
108,rachis,rachis.ai,https://rachis.ai,geometry,The central shaft of a feather.,Representation Activation Concept Hidden-state Interpretability Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
109,marler,marler.ai,https://marler.ai,land,A laborer in a marlpit.,Manifold Activation Representation Layer Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
110,windle,windle.ai,https://windle.ai,flora,"An old English measure of corn, half a bushel.",Workbench Interpretability Neural Direction Layer Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
111,pelage,pelage.ai,https://pelage.ai,fauna,"Fur, hair, or any other form of the coat of a mammal.",Probe Embedding Layer Activation Geometry Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
112,acinus,acinus.ai,https://acinus.ai,flora,"One of the small grains or drupelets which make up some kinds of fruit, as the blackberry, ra...",Activation Concept Interpretability Neural Unified Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
113,juncus,juncus.ai,https://juncus.ai,land,Any plant of the genus Juncus (the rushes).,Jacobian Unified Neural Concept Unified Steering,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
114,anuran,anuran.ai,https://anuran.ai,fauna,"Any amphibian of the order Anura; a frog, a toad.",Activation Neural Unified Representation Activation Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
115,laffer,laffer.ai,https://laffer.ai,geometry,A comedy.,Layer Activation Feature Feature Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
116,dodder,dodder.ai,https://dodder.ai,flora,"To shake or tremble as one moves, especially as of old age or childhood; to totter.",Direction Observation Direction Direction Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
117,towage,towage.ai,https://towage.ai,navigation,The act of towing.,Trait Observation Workbench Activation Geometry Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
118,yeasty,yeasty.ai,https://yeasty.ai,feeling,Having or resembling yeast.,Yield Embedding Activation Steering Trait Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
119,drowse,drowse.ai,https://drowse.ai,motion,"An act, or a state, of being drowsy or sleepy.",Direction Representation Observation Workbench Steering Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
120,moorer,moorer.ai,https://moorer.ai,land,The person who moors a vessel,Manifold Observation Observation Representation Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
121,calcar,calcar.ai,https://calcar.ai,flora,A spur-like projection.,Concept Activation Layer Concept Activation Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
122,chiloe,chiloe.ai,https://chiloe.ai,land,the largest chilean island and the only one to be settled; located off south-central chile,Concept Hidden-state Interpretability Layer Observation Embedding,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
123,lascar,lascar.ai,https://lascar.ai,fauna,"A sailor from India or Southeast Asia, especially as serving on a European ship.",Layer Activation Steering Concept Activation Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
124,cimbri,cimbri.ai,https://cimbri.ai,land,"An ancient tribe that invaded southern Europe between 113 and 101 BCE, generally thought to h...",Concept Interpretability Manifold Behavior Representation Interpretability,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
125,cannel,cannel.ai,https://cannel.ai,craft,A bituminous coal that burns brightly with much smoke.,Concept Activation Neural Neural Embedding Layer,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
126,unhewn,unhewn.ai,https://unhewn.ai,earth,Not hewn.,Unified Neural Hidden-state Embedding Workbench Neural,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
127,meader,meader.ai,https://meader.ai,land,A mower.,Manifold Embedding Activation Direction Embedding Representation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
128,bayamo,bayamo.ai,https://bayamo.ai,sky,A violent storm in the Caribbean.,Behavior Activation Yield Activation Manifold Observation,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
129,mulley,mulley.ai,https://mulley.ai,land,A hornless or polled animal.,Manifold Unified Layer Layer Embedding Yield,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
130,cichlid,cichlid.ai,https://cichlid.ai,fauna,"Any of many tropical fish, of the family Cichlidae, popular as aquarium fish.",Concept Interpretability Concept Hidden-state Layer Interpretability Direction,available standard live registrar,82.70,2,165.40,82.70,unavailable,2026-08-27
