rank,name,domain,url,theme,rationale,backronym_sketch,status,first_year_usd,renewal_usd,premium,checked_at
27,rouse,rouse.tools,https://rouse.tools,sleep/dream,Drowse-adjacent language for liminal cognition and model state.,Readout Observation Unified Steering Editing,available standard live registrar,9.78,29.35,no,2026-08-27
28,rudder,rudder.tools,https://rudder.tools,steering/control,A natural metaphor for directional control and activation shaping.,Readout Unified Direction Detection Editing Representation,available standard live registrar,9.78,29.35,no,2026-08-27
29,incline,incline.tools,https://incline.tools,steering/control,A natural metaphor for directional control and activation shaping.,Interpretation Neural Concepts Layerwise Injection Navigation Editing,available standard live registrar,9.78,29.35,no,2026-08-27
30,heading,heading.tools,https://heading.tools,steering/control,A natural metaphor for directional control and activation shaping.,Hidden-states Editing Activation Direction Interpretation Neural Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
31,approach,approach.tools,https://approach.tools,steering/control,A natural metaphor for directional control and activation shaping.,Activation Probing Projection Readout Observation Analysis Concepts Hidden-states,available standard live registrar,9.78,29.35,no,2026-08-27
32,direction,direction.tools,https://direction.tools,steering/control,A natural metaphor for directional control and activation shaping.,Direction Interpretation Readout Editing Concepts Traits Injection Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
33,calibrate,calibrate.tools,https://calibrate.tools,steering/control,A natural metaphor for directional control and activation shaping.,Concepts Activation Layerwise Interpretation Behavior Readout Analysis Traits Editing,available standard live registrar,9.78,29.35,no,2026-08-27
34,regulate,regulate.tools,https://regulate.tools,steering/control,A natural metaphor for directional control and activation shaping.,Readout Editing Geometry Unified Layerwise Activation Traits Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
35,modulate,modulate.tools,https://modulate.tools,steering/control,A natural metaphor for directional control and activation shaping.,Manifolds Observation Direction Unified Layerwise Activation Traits Editing,available standard live registrar,9.78,29.35,no,2026-08-27
36,smooth,smooth.tools,https://smooth.tools,steering/control,A natural metaphor for directional control and activation shaping.,Steering Manifolds Observation Output Traits Hidden-states,available standard live registrar,9.78,29.35,no,2026-08-27
37,poised,poised.tools,https://poised.tools,steering/control,A natural metaphor for directional control and activation shaping.,Probing Observation Interpretation Steering Editing Direction,available standard live registrar,9.78,29.35,no,2026-08-27
38,centered,centered.tools,https://centered.tools,steering/control,A natural metaphor for directional control and activation shaping.,Concepts Editing Neural Traits Embeddings Readout Evaluation Direction,available standard live registrar,9.78,29.35,no,2026-08-27
39,balanced,balanced.tools,https://balanced.tools,steering/control,A natural metaphor for directional control and activation shaping.,Behavior Activation Layerwise Analysis Neural Concepts Editing Direction,available standard live registrar,9.78,29.35,no,2026-08-27
40,shaped,shaped.tools,https://shaped.tools,steering/control,A natural metaphor for directional control and activation shaping.,Steering Hidden-states Activation Probing Editing Direction,available standard live registrar,9.78,29.35,no,2026-08-27
41,angled,angled.tools,https://angled.tools,steering/control,A natural metaphor for directional control and activation shaping.,Activation Neural Geometry Layerwise Editing Direction,available standard live registrar,9.78,29.35,no,2026-08-27
42,slanted,slanted.tools,https://slanted.tools,steering/control,A natural metaphor for directional control and activation shaping.,Steering Layerwise Activation Neural Traits Editing Direction,available standard live registrar,9.78,29.35,no,2026-08-27
43,drawn,drawn.tools,https://drawn.tools,steering/control,A natural metaphor for directional control and activation shaping.,Direction Readout Activation Workspace Neural,available standard live registrar,9.78,29.35,no,2026-08-27
44,belief,belief.tools,https://belief.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Behavior Editing Layerwise Interpretation Embeddings Features,available standard live registrar,9.78,29.35,no,2026-08-27
45,fear,fear.tools,https://fear.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Features Editing Activation Readout,available standard live registrar,9.78,29.35,no,2026-08-27
46,doubt,doubt.tools,https://doubt.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Direction Observation Unified Behavior Traits,available standard live registrar,9.78,29.35,no,2026-08-27
47,anger,anger.tools,https://anger.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Neural Geometry Editing Readout,available standard live registrar,9.78,29.35,no,2026-08-27
48,excitement,excitement.tools,https://excitement.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Editing eXplainability Concepts Interpretation Traits Embeddings Manifolds Evaluation Neural Tokens,available standard live registrar,9.78,29.35,no,2026-08-27
49,affection,affection.tools,https://affection.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Features Fitting Editing Concepts Traits Interpretation Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
50,gentle,gentle.tools,https://gentle.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Geometry Editing Neural Traits Layerwise Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
51,anxious,anxious.tools,https://anxious.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Neural eXplainability Interpretation Observation Unified Steering,available standard live registrar,9.78,29.35,no,2026-08-27
52,illusion,illusion.tools,https://illusion.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Interpretation Layerwise Latents Unified Steering Injection Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
53,confidence,confidence.tools,https://confidence.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Concepts Observation Neural Features Interpretation Direction Editing Navigation Cognition Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
54,eager,eager.tools,https://eager.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Editing Activation Geometry Embeddings Readout,available standard live registrar,9.78,29.35,no,2026-08-27
55,aspect,aspect.tools,https://aspect.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Steering Probing Editing Concepts Traits,available standard live registrar,9.78,29.35,no,2026-08-27
56,discernment,discernment.tools,https://discernment.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Direction Interpretation Steering Concepts Editing Readout Neural Manifolds Embeddings Navigation Traits,available standard live registrar,9.78,29.35,no,2026-08-27
57,examine,examine.tools,https://examine.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Activation Manifolds Interpretation Neural Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
58,determine,determine.tools,https://determine.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Direction Editing Traits Embeddings Readout Manifolds Interpretation Neural Evaluation,available standard live registrar,9.78,29.35,no,2026-08-27
59,consider,consider.tools,https://consider.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Neural Steering Interpretation Direction Editing Readout,available standard live registrar,9.78,29.35,no,2026-08-27
60,expression,expression.tools,https://expression.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Probing Readout Embeddings Steering Subspaces Interpretation Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
61,effort,effort.tools,https://effort.tools,steering/control,A natural metaphor for directional control and activation shaping.,Editing Features Fitting Observation Readout Traits,available standard live registrar,9.78,29.35,no,2026-08-27
62,ethos,ethos.tools,https://ethos.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing Traits Hidden-states Observation Steering,available standard live registrar,9.78,29.35,no,2026-08-27
63,cluster,cluster.tools,https://cluster.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Concepts Layerwise Unified Steering Traits Editing Readout,available standard live registrar,9.78,29.35,no,2026-08-27
64,density,density.tools,https://density.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Direction Editing Neural Steering Interpretation Traits Yield-aware,available standard live registrar,9.78,29.35,no,2026-08-27
65,fraction,fraction.tools,https://fraction.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Features Readout Activation Concepts Traits Interpretation Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
66,dimension,dimension.tools,https://dimension.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Direction Interpretation Manifolds Editing Neural Steering Injection Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
67,fall,fall.tools,https://fall.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Features Activation Layerwise Latents,available standard live registrar,9.78,29.35,no,2026-08-27
68,carry,carry.tools,https://carry.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Concepts Activation Readout Representation Yield-aware,available standard live registrar,9.78,29.35,no,2026-08-27
69,lift,lift.tools,https://lift.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Layerwise Interpretation Features Traits,available standard live registrar,9.78,29.35,no,2026-08-27
70,alive,alive.tools,https://alive.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Layerwise Interpretation Vectors Editing,available standard live registrar,9.78,29.35,no,2026-08-27
71,bent,bent.tools,https://bent.tools,steering/control,A natural metaphor for directional control and activation shaping.,Behavior Editing Neural Traits,available standard live registrar,9.78,29.35,no,2026-08-27
72,pole,pole.tools,https://pole.tools,steering/control,A natural metaphor for directional control and activation shaping.,Probing Observation Layerwise Editing,available standard live registrar,9.78,29.35,no,2026-08-27
73,alone,alone.tools,https://alone.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Layerwise Observation Neural Editing,available standard live registrar,9.78,29.35,no,2026-08-27
74,darkness,darkness.tools,https://darkness.tools,sleep/dream,Drowse-adjacent language for liminal cognition and model state.,Direction Activation Readout Kernels Neural Editing Steering Subspaces,available standard live registrar,9.78,29.35,no,2026-08-27
75,asleep,asleep.tools,https://asleep.tools,sleep/dream,Drowse-adjacent language for liminal cognition and model state.,Activation Steering Layerwise Editing Embeddings Probing,available standard live registrar,9.78,29.35,no,2026-08-27
76,creep,creep.tools,https://creep.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Concepts Readout Editing Embeddings Probing,available standard live registrar,9.78,29.35,no,2026-08-27
77,forget,forget.tools,https://forget.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Features Observation Readout Geometry Editing Traits,available standard live registrar,9.78,29.35,no,2026-08-27
78,chunking,chunking.tools,https://chunking.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Hidden-states Unified Neural Kernels Interpretation Navigation Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
79,conditioning,conditioning.tools,https://conditioning.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Neural Direction Interpretation Traits Injection Output Navigation Inference Nodes Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
80,auditory,auditory.tools,https://auditory.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Unified Direction Interpretation Traits Observation Readout Yield-aware,available standard live registrar,9.78,29.35,no,2026-08-27
81,computational,computational.tools,https://computational.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Manifolds Probing Unified Traits Activation Tokens Interpretation Output Neural Analysis Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
82,connectionist,connectionist.tools,https://connectionist.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Neural Navigation Editing Cognition Traits Interpretation Output Nodes Injection Steering Tokens,available standard live registrar,9.78,29.35,no,2026-08-27
83,bayesian,bayesian.tools,https://bayesian.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Behavior Activation Yield-aware Editing Steering Interpretation Analysis Neural,available standard live registrar,9.78,29.35,no,2026-08-27
84,avoidance,avoidance.tools,https://avoidance.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Vectors Observation Interpretation Direction Analysis Neural Concepts Editing,available standard live registrar,9.78,29.35,no,2026-08-27
85,absorption,absorption.tools,https://absorption.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Activation Behavior Steering Observation Readout Probing Traits Interpretation Output Neural,available standard live registrar,9.78,29.35,no,2026-08-27
86,boredom,boredom.tools,https://boredom.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Behavior Observation Readout Editing Direction Output Manifolds,available standard live registrar,9.78,29.35,no,2026-08-27
87,choices,choices.tools,https://choices.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Hidden-states Observation Interpretation Cognition Editing Steering,available standard live registrar,9.78,29.35,no,2026-08-27
88,associative,associative.tools,https://associative.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Steering Subspaces Observation Concepts Interpretation Analysis Traits Injection Vectors Editing,available standard live registrar,9.78,29.35,no,2026-08-27
89,attentional,attentional.tools,https://attentional.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Traits Tokens Editing Neural Tuning Interpretation Observation Navigation Analysis Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
90,affective,affective.tools,https://affective.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Features Fitting Editing Concepts Traits Interpretation Vectors Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
91,confabulation,confabulation.tools,https://confabulation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Neural Features Activation Behavior Unified Layerwise Analysis Traits Interpretation Output Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
92,categorization,categorization.tools,https://categorization.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Activation Traits Editing Geometry Observation Readout Interpretation Zero-shot Analysis Tokens Injection Output Neural,available standard live registrar,9.78,29.35,no,2026-08-27
93,adaptation,adaptation.tools,https://adaptation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Direction Analysis Probing Traits Affect Tokens Interpretation Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
94,aftereffect,aftereffect.tools,https://aftereffect.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Features Traits Editing Readout Embeddings Fitting Frames Evaluation Concepts Tokens,available standard live registrar,9.78,29.35,no,2026-08-27
95,closure,closure.tools,https://closure.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Layerwise Observation Steering Unified Readout Editing,available standard live registrar,9.78,29.35,no,2026-08-27
96,calmness,calmness.tools,https://calmness.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Concepts Activation Layerwise Manifolds Neural Editing Steering Subspaces,available standard live registrar,9.78,29.35,no,2026-08-27
97,dread,dread.tools,https://dread.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Direction Readout Editing Activation Detection,available standard live registrar,9.78,29.35,no,2026-08-27
98,comfort,comfort.tools,https://comfort.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Concepts Observation Manifolds Features Output Readout Traits,available standard live registrar,9.78,29.35,no,2026-08-27
99,fascination,fascination.tools,https://fascination.tools,feeling/psychology,"A familiar human term for affect, stance, or inner state.",Features Activation Steering Concepts Interpretation Neural Analysis Traits Injection Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
100,attentive,attentive.tools,https://attentive.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Traits Tokens Editing Neural Tuning Interpretation Vectors Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
101,behavioral,behavioral.tools,https://behavioral.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Behavior Editing Hidden-states Activation Vectors Interpretation Observation Readout Analysis Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
102,experiential,experiential.tools,https://experiential.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Probing Embeddings Readout Interpretation Evaluation Neural Traits Injection Activation Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
103,expressive,expressive.tools,https://expressive.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Probing Readout Embeddings Steering Subspaces Interpretation Vectors Evaluation,available standard live registrar,9.78,29.35,no,2026-08-27
104,directional,directional.tools,https://directional.tools,steering/control,A natural metaphor for directional control and activation shaping.,Direction Interpretation Readout Editing Concepts Traits Injection Observation Neural Activation Layerwise,available standard live registrar,9.78,29.35,no,2026-08-27
105,controllable,controllable.tools,https://controllable.tools,steering/control,A natural metaphor for directional control and activation shaping.,Concepts Observation Neural Traits Readout Output Layerwise Latents Activation Behavior Lenses Editing,available standard live registrar,9.78,29.35,no,2026-08-27
106,explainable,explainable.tools,https://explainable.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Editing eXplainability Probing Layerwise Activation Interpretation Neural Analysis Behavior Latents Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
107,coherent,coherent.tools,https://coherent.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Concepts Observation Hidden-states Editing Readout Embeddings Neural Traits,available standard live registrar,9.78,29.35,no,2026-08-27
108,calibrated,calibrated.tools,https://calibrated.tools,steering/control,A natural metaphor for directional control and activation shaping.,Concepts Activation Layerwise Interpretation Behavior Readout Analysis Traits Editing Direction,available standard live registrar,9.78,29.35,no,2026-08-27
109,dreaming,dreaming.tools,https://dreaming.tools,sleep/dream,Drowse-adjacent language for liminal cognition and model state.,Direction Readout Editing Activation Manifolds Interpretation Neural Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
110,aligning,aligning.tools,https://aligning.tools,steering/control,A natural metaphor for directional control and activation shaping.,Activation Layerwise Interpretation Geometry Neural Injection Navigation Guidance,available standard live registrar,9.78,29.35,no,2026-08-27
111,attending,attending.tools,https://attending.tools,mechanistic interpretability,"Maps naturally to representations, probes, geometry, or model readout.",Activation Traits Tokens Editing Neural Direction Interpretation Navigation Geometry,available standard live registrar,9.78,29.35,no,2026-08-27
112,interoception,interoception.tools,https://interoception.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Interpretation Neural Traits Editing Readout Observation Concepts Embeddings Probing Tokens Injection Output Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
113,inhibition,inhibition.tools,https://inhibition.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Interpretation Neural Hidden-states Injection Behavior Inference Traits Instruments Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
114,excitation,excitation.tools,https://excitation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Concepts Interpretation Traits Activation Tokens Injection Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
115,habituation,habituation.tools,https://habituation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Hidden-states Activation Behavior Interpretation Traits Unified Analysis Tokens Injection Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
116,interference,interference.tools,https://interference.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Interpretation Neural Traits Editing Readout Features Embeddings Representation Evaluation Navigation Concepts Explainability,available standard live registrar,9.78,29.35,no,2026-08-27
117,discrimination,discrimination.tools,https://discrimination.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Direction Interpretation Steering Concepts Readout Injection Manifolds Inference Neural Activation Traits Instruments Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
118,generalization,generalization.tools,https://generalization.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Geometry Editing Neural Embeddings Readout Activation Layerwise Interpretation Zero-shot Analysis Traits Injection Observation Navigation,available standard live registrar,9.78,29.35,no,2026-08-27
119,feedforward,feedforward.tools,https://feedforward.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Features Editing Embeddings Direction Fitting Observation Readout Workspace Activation Representation Detection,available standard live registrar,9.78,29.35,no,2026-08-27
120,computation,computation.tools,https://computation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Observation Manifolds Probing Unified Traits Activation Tokens Interpretation Output Neural,available standard live registrar,9.78,29.35,no,2026-08-27
121,categorizing,categorizing.tools,https://categorizing.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Concepts Activation Traits Editing Geometry Observation Readout Interpretation Zero-shot Injection Neural Guidance,available standard live registrar,9.78,29.35,no,2026-08-27
122,expectation,expectation.tools,https://expectation.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Probing Embeddings Concepts Traits Activation Tokens Interpretation Observation Neural,available standard live registrar,9.78,29.35,no,2026-08-27
123,exploitation,exploitation.tools,https://exploitation.tools,steering/control,A natural metaphor for directional control and activation shaping.,Editing eXplainability Probing Layerwise Observation Interpretation Traits Activation Tokens Injection Output Neural,available standard live registrar,9.78,29.35,no,2026-08-27
124,metacognitive,metacognitive.tools,https://metacognitive.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Manifolds Editing Traits Activation Concepts Observation Geometry Neural Interpretation Tokens Injection Vectors Embeddings,available standard live registrar,9.78,29.35,no,2026-08-27
125,episodic,episodic.tools,https://episodic.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing Probing Interpretation Steering Observation Direction Injection Concepts,available standard live registrar,9.78,29.35,no,2026-08-27
126,explicit,explicit.tools,https://explicit.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Probing Layerwise Interpretation Concepts Injection Traits,available standard live registrar,9.78,29.35,no,2026-08-27
127,excitatory,excitatory.tools,https://excitatory.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Editing eXplainability Concepts Interpretation Traits Activation Tokens Observation Readout Yield-aware,available standard live registrar,9.78,29.35,no,2026-08-27
128,bottomup,bottomup.tools,https://bottomup.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Behavior Observation Traits Tokens Output Manifolds Unified Probing,available standard live registrar,9.78,29.35,no,2026-08-27
129,allostasis,allostasis.tools,https://allostasis.tools,cognitive science,A recognized cognitive-science or psychology term with a direct product connection.,Activation Layerwise Latents Observation Steering Traits Analysis Subspaces Interpretation Signals,available standard live registrar,9.78,29.35,no,2026-08-27
130,dominance,dominance.tools,https://dominance.tools,steering/control,A natural metaphor for directional control and activation shaping.,Direction Observation Manifolds Interpretation Neural Activation Navigation Concepts Editing,available standard live registrar,9.78,29.35,no,2026-08-27
