rank,name,domain,letters,pronunciation,language,meaning,project_fit,editorial_note,meaning_source,registrar,registrar_status,premium,registration_usd_per_year,minimum_initial_years,calculated_initial_usd_before_tax,renewal_usd_per_year,minimum_renewal_years,checked_at_utc,purchase_link,rdap_http_status,pypi_http_status,npm_http_status,existing_use_note,existing_use_source
11,Havaita,havaita.ai,7,HAH-vy-tah,Finnish,"To perceive, observe, detect, or notice.",Almost a definition of what the probing instruments let you do.,A precise perception word with a clear three-syllable rhythm.,https://en.wiktionary.org/wiki/havaita,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=havaita.ai,404,404,404,No obvious exact-name AI/software product surfaced in the bounded web screen.,
12,Udito,udito.ai,5,oo-DEE-toh,Italian,Hearing; the sense of hearing.,A metaphor for listening to otherwise inaccessible internal signals.,"Short, warm, and immediately speakable.",https://www.collinsdictionary.com/dictionary/italian-english/udito,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=udito.ai,404,404,404,An unrelated hearing-care clinic uses Udito.,https://www.udito.pl/
13,Skimte,skimte.ai,6,SHIM-teh,Norwegian,To glimpse or discern faintly.,Catching a glimpse of the hidden activity behind an answer.,Compact and distinctive; Norwegian ski here sounds like shi.,https://dictionary.cambridge.org/dictionary/norwegian-english/skimte,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=skimte.ai,404,404,404,No obvious exact-name AI/software product surfaced in the bounded web screen.,
14,Ordire,ordire.ai,6,or-DEE-reh,Italian,To set up the warp of a fabric; also to weave or plot.,Preparing the threads from which model behavior is composed.,Memorable and purposeful; the plotting sense is a tonal consideration.,https://www.treccani.it/vocabolario/ordire/,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=ordire.ai,404,404,404,No obvious exact-name AI/software product surfaced; the ordinary word also means to hatch a plot.,
15,Risvolto,risvolto.ai,8,reez-VOHL-toh,Italian,"A turned-back fold; figuratively, a less visible aspect or implication.",Revealing the other side of a model response.,"The longest option at eight letters, but a strong three-syllable word.",https://www.treccani.it/vocabolario/risvolto_%28Sinonimi-e-Contrari%29/,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=risvolto.ai,404,404,404,Existing fashion/boutique usage; no obvious exact-name AI/software product surfaced.,https://it.wikipedia.org/wiki/Risvolto
16,Rimple,rimple.ai,6,RIM-puhl,English,"A fold, wrinkle, or ripple.",Small changes moving through a curved internal landscape.,One of the easiest to say; playful and tactile.,https://www.merriam-webster.com/dictionary/rimple,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=rimple.ai,404,404,200,"The exact npm name is already a JavaScript library. Kept as a domain-available option, with a developer-namespace collision.",https://github.com/xiechao06/rimple
17,Retazo,retazo.ai,6,reh-TAH-soh,Spanish,"A fragment, remnant, or snippet.",Small pieces of activity used to understand a larger representation.,Strong consonants and a clear three-syllable rhythm; guide uses Latin American pronunciation.,https://www.spanishdict.com/translate/el%20retazo?langFrom=es,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=retazo.ai,404,404,404,"Existing design/retail uses and Retazo Digital, a web/app-services brand.",https://bucle.io/servicios/
18,Venula,venula.ai,6,VEN-yoo-lah,Latin-derived anatomical word,A small vein.,An organic metaphor for pathways and flows inside a complex system.,Soft and biological; less literal about AI than the leading names.,https://en.wiktionary.org/wiki/venula,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=venula.ai,404,404,404,Personal-name uses surfaced; no obvious exact-name AI/software product.,
19,Wispish,wispish.ai,7,WIS-pish,English,Resembling a wisp; wispy.,"Faint, fleeting patterns becoming visible in a live model.",Light and memorable; more atmospheric than technical.,https://www.merriam-webster.com/dictionary/wispish,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=wispish.ai,404,404,404,No obvious exact-name AI/software product surfaced in the bounded web screen.,
20,Purling,purling.ai,7,PUR-ling,English,Knitting in purl stitch; also softly murmuring or flowing.,Connects the project's threads with its continuous stream of activations.,"Gentle, tactile, and familiar to say.",https://www.merriam-webster.com/dictionary/purl,Porkbun,AVAILABLE,0,82.70,2,165.40,82.70,2,2026-09-05T22:21:02.871842+00:00,https://porkbun.com/checkout/search?q=purling.ai,404,404,404,Purling is an established luxury chess/art-games brand; no exact-name AI workbench surfaced.,https://www.purlingartgames.com/our-story
