"rank","name","domain","pronunciation","rationale","registrar_status","premium","registration_annual_usd","renewal_annual_usd","minimum_term_years","two_year_arithmetic_estimate_usd","price_note","registrar_checked_at_utc","registry_http_status","registry_checked_at_utc","pypi_http_status","npm_http_status","registrar_url","dictionary_url","collision_note","collision_sources"
"11","fernery","fernery.ai","FUR-nuh-ree","A place where ferns grow; a quiet, organic name with strong visual possibilities.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:24.374968+00:00","404","404","https://porkbun.com/checkout/search?q=fernery.ai","https://www.merriam-webster.com/dictionary/fernery","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"12","hazily","hazily.ai","HAY-zih-lee","Half-visible patterns and uncertain impressions; soft and atmospheric.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:24.308602+00:00","404","404","https://porkbun.com/checkout/search?q=hazily.ai","https://www.oxfordlearnersdictionaries.com/us/definition/english/hazily","Has a deliberate ambiguity/uncertainty connotation. No exact software brand surfaced in the limited search.","https://www.oxfordlearnersdictionaries.com/us/definition/english/hazily"
"13","dozing","dozing.ai","DOH-zing","Dormant potential and dreamlike states; gentle and easy to remember.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:23.041226+00:00","404","404","https://porkbun.com/checkout/search?q=dozing.ai","https://www.merriam-webster.com/dictionary/doze","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"14","riverlet","riverlet.ai","RIV-er-let","A little river; a natural metaphor for branching streams of generation.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:24.562185+00:00","404","404","https://porkbun.com/checkout/search?q=riverlet.ai","https://www.merriam-webster.com/dictionary/riverlet","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"15","dimpled","dimpled.ai","DIM-puld","Small contours in a surface; friendly, tactile, and suggestive of geometry.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:23.402872+00:00","404","404","https://porkbun.com/checkout/search?q=dimpled.ai","https://www.oxfordlearnersdictionaries.com/definition/english/dimpled","Existing technical phrase Dimpled Manifold Model in ML research; this is not an exact standalone product-name match.","https://arxiv.org/abs/2106.10151"
"16","wafting","wafting.ai","WAF-ting","Gentle movement in a direction; a soft metaphor for activation steering.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:24.482564+00:00","404","404","https://porkbun.com/checkout/search?q=wafting.ai","https://www.merriam-webster.com/dictionary/waft","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"17","satiny","satiny.ai","SAT-in-ee","Smooth and tactile; a polished, approachable brand.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:22.870864+00:00","404","404","https://porkbun.com/checkout/search?q=satiny.ai","https://www.oxfordlearnersdictionaries.com/us/definition/english/satiny","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"18","wittily","wittily.ai","WIT-ih-lee","Clever expression; an upbeat name for a language-focused tool.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:23.233657+00:00","404","404","https://porkbun.com/checkout/search?q=wittily.ai","https://www.oxfordlearnersdictionaries.com/us/definition/english/wittily","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"19","giddily","giddily.ai","GID-ih-lee","Excitement and discovery; playful and buoyant.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:23.032894+00:00","404","404","https://porkbun.com/checkout/search?q=giddily.ai","https://www.oxfordlearnersdictionaries.com/us/definition/english/giddily","No exact standalone software brand surfaced in the limited web search; not a comprehensive clearance.",""
"20","blithely","blithely.ai","BLYTHE-lee","Carefree and cheerful; a light, literary personality.","AVAILABLE","0","82.70","82.70","2","165.40","About USD 165 upfront before tax. Annualized prices; actual checkout rounding/fees can differ.","2026-09-05 15:45:52","404","2026-09-05T15:42:22.138639+00:00","404","404","https://porkbun.com/checkout/search?q=blithely.ai","https://www.oxfordlearnersdictionaries.com/us/definition/english/blithely","Can mean cheerfully or carelessly; pronunciation has a voiced th. No exact software brand surfaced in the limited search.","https://www.oxfordlearnersdictionaries.com/us/definition/english/blithely"

